rank,name,symbol,market_cap,price,circulating_supply,volume,change_7d
162,Injective Protocol,INJ,"$149,958,321.76",$5.7994,"25,857,417 INJ *","$18,981,380.18",-24.27%
163,Celer Network,CELR,"$148,276,162.52",$0.02647,"5,601,205,665 CELR *","$22,853,560.35",-25.14%
164,Unibright,UBT,"$147,647,938.25",$0.9843,"149,999,999 UBT","$1,291,098.90",-18.92%
165,Fetch.ai,FET,"$142,829,274.92",$0.1914,"746,113,681 FET *","$28,666,052.56",-27.00%
166,Serum,SRM,"$142,793,059.55",$2.8559,"50,000,000 SRM *","$35,096,049.13",-24.21%
167,Numeraire,NMR,"$141,891,096.75",$28.43,"4,991,336 NMR *","$17,833,805.52",-22.94%
168,StormX,STMX,"$141,835,581.29",$0.01418,"10,000,000,000 STMX *","$7,437,448.95",-26.32%
169,Aragon,ANT,"$139,175,036.61",$3.5137,"39,609,523 ANT *","$48,274,275.61",-14.65%
170,Augur,REP,"$136,669,578.91",$12.42,"11,000,000 REP *","$17,784,702.82",-23.02%
171,Hxro,HXRO,"$136,368,601.46",$0.6069,"224,693,272 HXRO *","$939,830.21",-7.02%
172,ZB Token,ZB,"$136,166,239.68",$0.2939,"463,288,810 ZB *","$2,530,279.95",-15.79%
173,SingularityNET,AGIX,"$134,183,551.61",$0.1547,"867,156,743 AGIX *","$3,107,661.27",-17.31%
174,The Sandbox,SAND,"$133,321,006.31",$0.1899,"701,888,415 SAND *","$15,541,269.55",-20.41%
175,Ultra,UOS,"$132,668,702.30",$0.4691,"282,789,762 UOS *","$1,115,161.74",-8.68%
176,Civic,CVC,"$128,201,405.95",$0.1913,"670,000,000 CVC *","$36,195,462.42",-15.55%
177,BitShares,BTS,"$125,231,291.85",$0.04182,"2,994,330,000 BTS *","$6,698,644.60",-17.16%
178,Ampleforth,AMPL,"$120,594,548.64",$0.8515,"141,618,712 AMPL *","$6,120,303.49",-3.44%
179,Phala Network,PHA,"$117,942,121.47",$0.664,"177,634,380 PHA *","$20,343,724.01",-21.84%
180,TomoChain,TOMO,"$117,368,945.80",$1.4342,"81,834,888 TOMO *","$7,441,553.39",-19.49%
181,Enzyme,MLN,"$115,808,895.62",$64.60,"1,792,738 MLN *","$7,766,691.25",-24.75%
182,Orbs,ORBS,"$114,438,413.53",$0.05132,"2,229,950,518 ORBS *","$561,470.46",-10.81%
183,Balancer,BAL,"$113,532,624.18",$16.35,"6,943,831 BAL *","$27,489,603.10",-15.87%
184,RSK Infrastructure Framework,RIF,"$112,220,886.31",$0.1511,"742,686,676 RIF *","$1,608,476.58",-4.93%
185,Strike,STRK,"$110,562,896.69",$37.92,"2,915,778 STRK *","$542,058.86",-12.00%
186,Ardor,ARDR,"$109,018,972.81",$0.1091,"998,999,495 ARDR *","$3,972,488.50",-27.64%
187,Alpha Finance Lab,ALPHA,"$109,242,934.61",$0.3825,"285,579,035 ALPHA *","$12,816,918.79",-29.10%
188,Casper,CSPR,"$109,292,259.90",$0.1852,"590,273,359 CSPR *","$7,407,161.13",-33.73%
189,Travala.com,AVA,"$108,503,656.57",$2.1847,"49,664,260 AVA *","$3,278,205.89",-18.39%
190,PAX Gold,PAXG,"$107,772,283.56","$1,791.40","60,161 PAXG","$15,499,254.10",0.63%
191,Function X,FX,"$104,864,888.08",$0.2879,"364,232,573 FX *","$364,967.72",-4.72%
192,Streamr,DATA,"$103,528,047.55",$0.1171,"884,250,679 DATA *","$27,156,344.00",-18.89%
193,Wanchain,WAN,"$102,418,228.66",$0.53,"193,243,236 WAN *","$2,112,880.23",-19.89%
194,JUST,JST,"$102,565,347.49",$0.04538,"2,260,326,706 JST *","$58,562,211.56",-17.72%
195,Steem,STEEM,"$100,671,242.67",$0.2505,"401,837,698 STEEM *","$1,573,343.49",-24.52%
196,Hive,HIVE,"$97,848,297.70",$0.2299,"425,588,892 HIVE *","$2,214,392.80",-21.51%
197,Utrust,UTK,"$98,152,545.84",$0.2181,"450,000,000 UTK *","$7,326,287.44",-20.73%
198,DODO,DODO,"$96,943,935.74",$0.8769,"110,551,965 DODO *","$101,259,223.76",-31.39%
199,Velas,VLX,"$95,713,557.83",$0.04505,"2,124,380,663 VLX *","$1,113,149.80",-16.73%
200,Divi,DIVI,"$95,388,661.75",$0.04023,"2,370,976,034 DIVI","$59,558.66",-11.52%
201,HEX,HEX,"$13,107,250,732.81",$0.07558,"173,411,074,413 HEX","$27,898,997.41",-18.84%
202,Egoras,EGR,"$3,773,936,724.68",$0.05792,"65,160,356,358 EGR","$1,125,843.11",-21.20%
203,Fei Protocol,FEI,"$2,032,397,372.27",$0.9956,"2,041,429,433 FEI *","$37,732,056.94",-0.07%
204,Wrapped BNB,WBNB,"$2,006,253,135.98",$288.86,"6,945,361 WBNB *","$214,394,870.47",-15.35%
205,SafeMoon,SAFEMOON,"$1,879,912,658.85",$0.00000321,"585,536,366,402,812 SAFEMOON *","$11,536,913.15",-19.15%
206,Counos X,CCXX,"$1,803,245,190.85",$101.08,"17,839,902 CCXX","$3,861,650.01",-0.17%
207,INO COIN,INO,"$1,429,524,327.92",$7.9417,"180,003,180 INO *","$302,105.22",181.38%
208,Creditcoin,CTC,"$1,429,915,529.06",$2.5310,"564,970,555 CTC","$6,614,994.28",-15.17%
209,Huobi BTC,HBTC,"$1,387,277,116.69","$34,763.30","39,906 HBTC *","$138,567.39",-2.40%
210,The Transfer Token,TTT,"$1,382,269,974.31",$13.15,"105,148,975 TTT","$1,940,922.92",-8.76%
211,stETH (Lido),STETH,"$1,042,177,225.21","$1,930.93","539,727 STETH *","$258,071.42",-13.48%
212,Liquity USD,LUSD,"$743,180,674.42",$1.0330,"719,446,095 LUSD *","$502,624.65",2.18%
213,WhiteCoin,XWC,"$694,064,866.13",$0.9514,"729,510,129 XWC *","$15,859,426.27",-14.64%
214,DeFiChain,DFI,"$678,828,193.26",$2.2589,"300,511,840 DFI *","$3,382,888.51",-21.18%
215,Symbol,XYM,"$618,554,422.97",$0.1137,"5,438,968,518 XYM","$2,010,166.74",-23.18%
216,Pirate Chain,ARRR,"$543,613,721.46",$2.9649,"183,346,799 ARRR","$975,509.78",-7.89%
217,Bitcoin Cash ABC,BCHA,"$510,026,120.07",$27.46,"18,572,921 BCHA","$11,085,246.62",26.30%
218,Venus BNB,vBNB,"$498,627,818.82",$5.9130,"84,327,095 vBNB",--,-14.61%
219,NXM,NXM,"$483,976,394.06",$75.53,"6,407,678 NXM *","$4,040.85",-12.11%
220,Zelwin,ZLW,"$432,215,276.78",$5.9877,"72,184,063 ZLW","$327,257.57",-0.24%
221,botXcoin,BOTX,"$420,519,773.30",$0.2576,"1,632,732,305 BOTX *","$424,744.63",-1.38%
222,Bitpanda Ecosystem Token,BEST,"$417,335,761.57",$1.0587,"394,186,139 BEST","$80,387.19",-16.19%
223,Orbit Chain,ORC,"$404,906,596.48",$0.8689,"465,987,647 ORC","$17,999,281.40",-3.82%
224,HedgeTrade,HEDG,"$391,659,810.04",$1.1231,"348,731,468 HEDG *","$787,783.57",4.17%
225,ECOMI,OMI,"$359,924,885.72",$0.002165,"166,285,821,196 OMI *","$1,478,774.73",18.50%
226,Mirror Protocol,MIR,"$318,530,841.52",$4.0972,"77,742,680 MIR *","$17,975,791.52",-8.80%
227,ASD (BTMX),BTMX,"$270,631,264.13",$0.3639,"743,798,994 BTMX *","$5,075.72",-8.28%
228,Hellenic Coin,HNC,"$268,446,004.45",$3.8398,"69,910,698 HNC","$156,685.82",-5.60%
229,yOUcash,YOUC,"$253,583,466.36",$0.049,"5,175,014,104 YOUC","$56,803.95",-15.37%
230,Akash Network,AKT,"$242,185,387.39",$3.6696,"65,998,457 AKT *","$369,284.06",20.42%
231,Persistence,XPRT,"$237,072,775.18",$11.36,"20,871,120 XPRT *","$132,243.30",14.92%
232,Axie Infinity,AXS,"$226,651,119.05",$3.7212,"60,907,500 AXS *","$14,392,463.26",-11.65%
233,Klever,KLV,"$217,322,121.69",$0.06396,"3,397,615,776 KLV *","$2,054,215.57",11.25%
234,Pundi X[new],PUNDIX,"$214,828,205.62",$0.8311,"258,491,637 PUNDIX","$28,383,609.36",-21.38%
235,Sologenic,SOLO,"$200,245,422.69",$1.0012,"200,001,808 SOLO","$632,997.54",-20.47%
236,Anchor Protocol,ANC,"$192,942,894.94",$2.4552,"78,586,555 ANC","$4,055,637.45",-6.55%
237,TitanSwap,TITAN,"$190,368,032.27",$3.5647,"53,404,160 TITAN","$4,867,236.19",-8.02%
238,Doctors Coin,DRS,"$178,792,220.72",$0.7782,"229,741,603 DRS","$4,344,472.53",4.80%
239,Raydium,RAY,"$176,017,375.40",$3.3221,"52,984,027 RAY *","$22,162,060.57",-14.46%
240,Keep Network,KEEP,"$159,618,022.93",$0.298,"535,719,473 KEEP *","$42,997,401.24",-28.36%
241,Orion Protocol,ORN,"$156,330,570.14",$5.3935,"28,985,000 ORN *","$4,574,449.28",-29.33%
242,Toko Token,TKO,"$150,049,624.42",$1.3829,"108,500,000 TKO *","$5,822,218.02",-18.96%
243,sUSD,SUSD,"$147,855,812.07",$1.0156,"145,583,296 SUSD *","$3,618,272.94",1.20%
244,Tribe,TRIBE,"$146,261,118.14",$0.5889,"248,364,400 TRIBE *","$2,774,699.08",-16.17%
